x,y,lon,lat,t,V_MAT,V_CVI,V_LOS,V_EOS,V_SOS
3560.801997566879,8841.241824684386,78.75,67.75,9,-11.416240692138672,4.522311687469482,-0.6630345582962036,7.664544582366943,-1.9035323858261108
3560.801997566879,8841.241824684386,78.75,67.75,10,-20.021514892578125,6.881547927856445,4.905022621154785,16.094186782836914,0.5399326086044312
3560.801997566879,8841.241824684386,78.75,67.75,11,-28.031362533569336,9.481122970581055,15.629051208496094,29.627193450927734,5.2468695640563965
3560.801997566879,8841.241824684386,78.75,67.75,12,-22.0975284576416,12.09110164642334,26.451950073242188,42.2164421081543,9.854429244995117
3560.801997566879,8841.241824684386,78.75,67.75,13,-42.21539306640625,13.071066856384277,32.47214889526367,46.451622009277344,12.432117462158203
3560.801997566879,8841.241824684386,78.75,67.75,14,-15.66726016998291,12.003089904785156,33.14789962768555,46.84443664550781,12.085748672485352
3560.801997566879,8841.241824684386,78.75,67.75,15,-23.88714027404785,10.678349494934082,31.470355987548828,43.38330078125,11.490602493286133
3560.801997566879,8841.241824684386,78.75,67.75,16,40.532344818115234,8.400232315063477,25.607629776000977,37.71869659423828,8.611172676086426
3560.801997566879,8841.241824684386,78.75,67.75,17,33.881526947021484,6.146434307098389,19.325462341308594,31.036121368408203,5.816249847412109
3560.801997566879,8841.241824684386,78.75,67.75,18,66.0985336303711,3.4505181312561035,12.062675476074219,24.055883407592773,2.6126935482025146
3560.801997566879,8841.241824684386,78.75,67.75,19,53.96720504760742,0.38176584243774414,4.782331943511963,15.6500244140625,0.1602792739868164
3560.801997566879,8841.241824684386,78.75,67.75,20,21.0824031829834,-2.0965309143066406,0.3627092242240906,10.129975318908691,-1.1980034112930298
3560.801997566879,8841.241824684386,78.75,67.75,21,-8.812024116516113,-3.2818477153778076,-0.3030773103237152,5.990180015563965,-1.262268304824829
3560.801997566879,8841.241824684386,78.75,67.75,22,16.129858016967773,-3.2890381813049316,1.1688531637191772,5.33909797668457,-0.2972227931022644
3560.801997566879,8841.241824684386,78.75,67.75,23,25.28826141357422,-2.0084338188171387,2.0520927906036377,3.341444253921509,0.9603046178817749
3560.801997566879,8841.241824684386,78.75,67.75,24,26.846097946166992,-1.4481817483901978,1.0290158987045288,2.471403121948242,0.237655907869339
3560.801997566879,8841.241824684386,78.75,67.75,25,-0.19097523391246796,-0.880821704864502,-0.8934322595596313,0.9873337149620056,-1.2880299091339111
4270.587628274334,9928.007932463064,107.75,65.75,1,0.6521928906440735,4.738131999969482,9.885795593261719,-2.00049090385437,-5.2787604331970215
4270.587628274334,9928.007932463064,107.75,65.75,2,15.671058654785156,7.624572277069092,9.741710662841797,-1.7574702501296997,1.2086982727050781
4270.587628274334,9928.007932463064,107.75,65.75,3,7.148815155029297,9.17910099029541,9.378972053527832,-2.00612473487854,2.464334726333618
4270.587628274334,9928.007932463064,107.75,65.75,4,34.01224899291992,9.424304962158203,10.548892974853516,-2.7544925212860107,2.3496804237365723
